{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.8771929824561403}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9473684210526315}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.9298245614035088}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9473684210526315}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.8771929824561403}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.7105263157894737}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.8771929824561403}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.8947368421052632}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9473684210526315}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.7105263157894737}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.8771929824561403}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.8245614035087719}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.6491228070175439}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'sigmoid', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.868421052631579}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9649122807017544}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.9298245614035088}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9649122807017544}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.7456140350877193}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 10, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.41228070175438597}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9649122807017544}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9473684210526315}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.7456140350877193}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'relu', 'Hidden Neurons': 15, 'Learning Rate': 0.1, 'Epochs': 1500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 500, 'Test Accuracy': 0.9210526315789473}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1000, 'Test Accuracy': 0.9649122807017544}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.001, 'Epochs': 1500, 'Test Accuracy': 0.9385964912280702}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1000, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.01, 'Epochs': 1500, 'Test Accuracy': 0.3508771929824561}
{'Hidden Activation': 'sigmoid', 'Output Activation': 'leaky_relu', 'Hidden Neurons': 5, 'Learning Rate': 0.1, 'Epochs': 500, 'Test Accuracy': 0.3508771929824561}
